video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
01_0014,1,16,6,6,0.375,0.375,5,1,1,9,0.8333333333333334,0.8333333333333334,0.8333333333333334
01_0016,1,21,7,6,0.2857142857142857,0.3333333333333333,6,0,1,14,1.0,0.8571428571428571,0.923076923076923
01_002,0,30,0,6,0.2,0.0,0,6,0,24,0.0,0.0,0.0
01_0026,1,31,8,7,0.22580645161290322,0.25806451612903225,6,1,2,22,0.8571428571428571,0.75,0.7999999999999999
01_0029,1,19,8,7,0.3684210526315789,0.42105263157894735,7,0,1,11,1.0,0.875,0.9333333333333333
01_003,0,48,0,5,0.10416666666666667,0.0,0,5,0,43,0.0,0.0,0.0
01_0030,1,25,13,6,0.24,0.52,3,3,10,9,0.5,0.23076923076923078,0.3157894736842105
01_005,0,42,0,7,0.16666666666666666,0.0,0,7,0,35,0.0,0.0,0.0
01_0054,1,36,19,7,0.19444444444444445,0.5277777777777778,7,0,12,17,1.0,0.3684210526315789,0.5384615384615384
01_0063,1,12,5,6,0.5,0.4166666666666667,5,1,0,6,0.8333333333333334,1.0,0.9090909090909091
01_007,0,36,0,6,0.16666666666666666,0.0,0,6,0,30,0.0,0.0,0.0
01_0073,1,18,7,8,0.4444444444444444,0.3888888888888889,7,1,0,10,0.875,1.0,0.9333333333333333
01_0076,1,16,15,6,0.375,0.9375,6,0,9,1,1.0,0.4,0.5714285714285715
01_009,0,53,0,8,0.1509433962264151,0.0,0,8,0,45,0.0,0.0,0.0
01_010,0,53,0,14,0.2641509433962264,0.0,0,14,0,39,0.0,0.0,0.0
01_011,0,46,0,10,0.21739130434782608,0.0,0,10,0,36,0.0,0.0,0.0
01_0129,1,15,8,6,0.4,0.5333333333333333,6,0,2,7,1.0,0.75,0.8571428571428571
01_013,0,46,0,13,0.2826086956521739,0.0,0,13,0,33,0.0,0.0,0.0
01_0130,1,21,7,7,0.3333333333333333,0.3333333333333333,6,1,1,13,0.8571428571428571,0.8571428571428571,0.8571428571428571
01_0131,1,18,7,6,0.3333333333333333,0.3888888888888889,6,0,1,11,1.0,0.8571428571428571,0.923076923076923
01_0132,1,16,6,6,0.375,0.375,5,1,1,9,0.8333333333333334,0.8333333333333334,0.8333333333333334
01_0133,1,13,13,6,0.46153846153846156,1.0,6,0,7,0,1.0,0.46153846153846156,0.631578947368421
01_0134,1,27,13,6,0.2222222222222222,0.48148148148148145,6,0,7,14,1.0,0.46153846153846156,0.631578947368421
01_0138,1,19,8,6,0.3157894736842105,0.42105263157894735,6,0,2,11,1.0,0.75,0.8571428571428571
01_014,0,46,0,9,0.1956521739130435,0.0,0,9,0,37,0.0,0.0,0.0
01_0140,1,15,5,7,0.4666666666666667,0.3333333333333333,5,2,0,8,0.7142857142857143,1.0,0.8333333333333333
01_015,0,46,0,14,0.30434782608695654,0.0,0,14,0,32,0.0,0.0,0.0
01_016,0,37,0,7,0.1891891891891892,0.0,0,7,0,30,0.0,0.0,0.0
01_0163,1,16,8,7,0.4375,0.5,7,0,1,8,1.0,0.875,0.9333333333333333
01_017,0,52,0,18,0.34615384615384615,0.0,0,18,0,34,0.0,0.0,0.0
01_019,0,36,0,8,0.2222222222222222,0.0,0,8,0,28,0.0,0.0,0.0
01_020,0,51,0,8,0.1568627450980392,0.0,0,8,0,43,0.0,0.0,0.0
01_022,0,30,0,7,0.23333333333333334,0.0,0,7,0,23,0.0,0.0,0.0
01_023,0,81,0,6,0.07407407407407407,0.0,0,6,0,75,0.0,0.0,0.0
01_024,0,42,0,10,0.23809523809523808,0.0,0,10,0,32,0.0,0.0,0.0
01_025,0,47,0,13,0.2765957446808511,0.0,0,13,0,34,0.0,0.0,0.0
01_029,0,60,0,12,0.2,0.0,0,12,0,48,0.0,0.0,0.0
01_031,0,29,0,12,0.41379310344827586,0.0,0,12,0,17,0.0,0.0,0.0
01_033,0,55,0,14,0.2545454545454545,0.0,0,14,0,41,0.0,0.0,0.0
01_035,0,51,0,13,0.2549019607843137,0.0,0,13,0,38,0.0,0.0,0.0
01_036,0,29,0,4,0.13793103448275862,0.0,0,4,0,25,0.0,0.0,0.0
01_037,0,52,0,8,0.15384615384615385,0.0,0,8,0,44,0.0,0.0,0.0
01_041,0,54,0,15,0.2777777777777778,0.0,0,15,0,39,0.0,0.0,0.0
01_042,0,54,0,12,0.2222222222222222,0.0,0,12,0,42,0.0,0.0,0.0
01_044,0,28,0,7,0.25,0.0,0,7,0,21,0.0,0.0,0.0
01_046,0,66,0,12,0.18181818181818182,0.0,0,12,0,54,0.0,0.0,0.0
01_048,0,66,0,9,0.13636363636363635,0.0,0,9,0,57,0.0,0.0,0.0
01_049,0,50,0,9,0.18,0.0,0,9,0,41,0.0,0.0,0.0
01_051,0,60,0,7,0.11666666666666667,0.0,0,7,0,53,0.0,0.0,0.0
01_054,0,66,0,10,0.15151515151515152,0.0,0,10,0,56,0.0,0.0,0.0
01_060,0,36,0,8,0.2222222222222222,0.0,0,8,0,28,0.0,0.0,0.0
01_062,0,46,0,10,0.21739130434782608,0.0,0,10,0,36,0.0,0.0,0.0
01_063,0,85,0,10,0.11764705882352941,0.0,0,10,0,75,0.0,0.0,0.0
01_066,0,86,0,14,0.16279069767441862,0.0,0,14,0,72,0.0,0.0,0.0
01_067,0,86,0,8,0.09302325581395349,0.0,0,8,0,78,0.0,0.0,0.0
01_068,0,64,0,9,0.140625,0.0,0,9,0,55,0.0,0.0,0.0
01_069,0,76,0,8,0.10526315789473684,0.0,0,8,0,68,0.0,0.0,0.0
01_070,0,65,0,6,0.09230769230769231,0.0,0,6,0,59,0.0,0.0,0.0
01_073,0,65,0,15,0.23076923076923078,0.0,0,15,0,50,0.0,0.0,0.0
01_083,0,55,0,16,0.2909090909090909,0.0,0,16,0,39,0.0,0.0,0.0
02_002,0,56,0,9,0.16071428571428573,0.0,0,9,0,47,0.0,0.0,0.0
02_004,0,89,0,7,0.07865168539325842,0.0,0,7,0,82,0.0,0.0,0.0
02_005,0,22,0,8,0.36363636363636365,0.0,0,8,0,14,0.0,0.0,0.0
02_006,0,28,0,8,0.2857142857142857,0.0,0,8,0,20,0.0,0.0,0.0
02_010,0,20,0,6,0.3,0.0,0,6,0,14,0.0,0.0,0.0
02_011,0,17,0,8,0.47058823529411764,0.0,0,8,0,9,0.0,0.0,0.0
02_0128,1,28,19,8,0.2857142857142857,0.6785714285714286,7,1,12,8,0.875,0.3684210526315789,0.5185185185185185
02_013,0,36,0,8,0.2222222222222222,0.0,0,8,0,28,0.0,0.0,0.0
02_014,0,15,0,5,0.3333333333333333,0.0,0,5,0,10,0.0,0.0,0.0
02_0164,1,22,13,6,0.2727272727272727,0.5909090909090909,5,1,8,8,0.8333333333333334,0.38461538461538464,0.5263157894736842
03_001,0,20,0,8,0.4,0.0,0,8,0,12,0.0,0.0,0.0
03_003,0,22,0,6,0.2727272727272727,0.0,0,6,0,16,0.0,0.0,0.0
03_0035,1,24,8,10,0.4166666666666667,0.3333333333333333,6,4,2,12,0.6,0.75,0.6666666666666665
03_0036,1,28,16,7,0.25,0.5714285714285714,6,1,10,11,0.8571428571428571,0.375,0.5217391304347825
03_0039,1,30,16,7,0.23333333333333334,0.5333333333333333,7,0,9,14,1.0,0.4375,0.6086956521739131
03_004,0,32,0,6,0.1875,0.0,0,6,0,26,0.0,0.0,0.0
03_0041,1,28,7,9,0.32142857142857145,0.25,6,3,1,18,0.6666666666666666,0.8571428571428571,0.75
03_006,0,17,0,7,0.4117647058823529,0.0,0,7,0,10,0.0,0.0,0.0
03_0060,1,24,6,8,0.3333333333333333,0.25,6,2,0,16,0.75,1.0,0.8571428571428571
03_0061,1,15,4,8,0.5333333333333333,0.26666666666666666,0,8,4,3,0.0,0.0,0.0
04_0001,1,34,20,9,0.2647058823529412,0.5882352941176471,6,3,14,11,0.6666666666666666,0.3,0.41379310344827586
04_0003,1,58,16,13,0.22413793103448276,0.27586206896551724,6,7,10,35,0.46153846153846156,0.375,0.41379310344827586
04_001,0,36,0,7,0.19444444444444445,0.0,0,7,0,29,0.0,0.0,0.0
04_0010,1,31,7,8,0.25806451612903225,0.22580645161290322,4,4,3,20,0.5,0.5714285714285714,0.5333333333333333
04_0013,1,22,14,8,0.36363636363636365,0.6363636363636364,8,0,6,8,1.0,0.5714285714285714,0.7272727272727273
04_003,0,57,0,16,0.2807017543859649,0.0,0,16,0,41,0.0,0.0,0.0
04_004,0,54,0,7,0.12962962962962962,0.0,0,7,0,47,0.0,0.0,0.0
04_0050,1,21,6,6,0.2857142857142857,0.2857142857142857,6,0,0,15,1.0,1.0,1.0
04_006,0,20,0,5,0.25,0.0,0,5,0,15,0.0,0.0,0.0
04_009,0,145,0,28,0.19310344827586207,0.0,0,28,0,117,0.0,0.0,0.0
04_010,0,22,0,6,0.2727272727272727,0.0,0,6,0,16,0.0,0.0,0.0
04_012,0,59,0,9,0.15254237288135594,0.0,0,9,0,50,0.0,0.0,0.0
04_013,0,28,0,5,0.17857142857142858,0.0,0,5,0,23,0.0,0.0,0.0
04_015,0,23,0,10,0.43478260869565216,0.0,0,10,0,13,0.0,0.0,0.0
04_019,0,45,0,8,0.17777777777777778,0.0,0,8,0,37,0.0,0.0,0.0
04_020,0,34,0,8,0.23529411764705882,0.0,0,8,0,26,0.0,0.0,0.0
05_001,0,52,0,16,0.3076923076923077,0.0,0,16,0,36,0.0,0.0,0.0
05_0018,1,30,5,7,0.23333333333333334,0.16666666666666666,0,7,5,18,0.0,0.0,0.0
05_002,0,48,0,10,0.20833333333333334,0.0,0,10,0,38,0.0,0.0,0.0
05_0020,1,40,4,8,0.2,0.1,3,5,1,31,0.375,0.75,0.5
05_0021,1,25,6,7,0.28,0.24,6,1,0,18,0.8571428571428571,1.0,0.923076923076923
05_0022,1,21,7,7,0.3333333333333333,0.3333333333333333,0,7,7,7,0.0,0.0,0.0
05_0024,1,27,9,6,0.2222222222222222,0.3333333333333333,6,0,3,18,1.0,0.6666666666666666,0.8
05_003,0,79,0,7,0.08860759493670886,0.0,0,7,0,72,0.0,0.0,0.0
05_006,0,66,0,9,0.13636363636363635,0.0,0,9,0,57,0.0,0.0,0.0
05_007,0,46,0,9,0.1956521739130435,0.0,0,9,0,37,0.0,0.0,0.0
05_008,0,30,0,6,0.2,0.0,0,6,0,24,0.0,0.0,0.0
05_011,0,51,0,11,0.21568627450980393,0.0,0,11,0,40,0.0,0.0,0.0
