video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
01_0014,1,16,6,6,0.375,0.375,5,1,1,9,0.8333333333333334,0.8333333333333334,0.8333333333333334
01_0016,1,21,7,5,0.23809523809523808,0.3333333333333333,5,0,2,14,1.0,0.7142857142857143,0.8333333333333333
01_002,0,30,0,4,0.13333333333333333,0.0,0,4,0,26,0.0,0.0,0.0
01_0026,1,31,8,9,0.2903225806451613,0.25806451612903225,6,3,2,20,0.6666666666666666,0.75,0.7058823529411765
01_0029,1,19,8,4,0.21052631578947367,0.42105263157894735,4,0,4,11,1.0,0.5,0.6666666666666666
01_003,0,48,0,4,0.08333333333333333,0.0,0,4,0,44,0.0,0.0,0.0
01_0030,1,25,13,6,0.24,0.52,3,3,10,9,0.5,0.23076923076923078,0.3157894736842105
01_005,0,42,0,13,0.30952380952380953,0.0,0,13,0,29,0.0,0.0,0.0
01_0054,1,36,19,10,0.2777777777777778,0.5277777777777778,10,0,9,17,1.0,0.5263157894736842,0.6896551724137931
01_0063,1,12,5,0,0.0,0.4166666666666667,0,0,5,7,0.0,0.0,0.0
01_007,0,36,0,4,0.1111111111111111,0.0,0,4,0,32,0.0,0.0,0.0
01_0073,1,18,7,5,0.2777777777777778,0.3888888888888889,5,0,2,11,1.0,0.7142857142857143,0.8333333333333333
01_0076,1,16,15,5,0.3125,0.9375,5,0,10,1,1.0,0.3333333333333333,0.5
01_009,0,53,0,8,0.1509433962264151,0.0,0,8,0,45,0.0,0.0,0.0
01_010,0,53,0,17,0.32075471698113206,0.0,0,17,0,36,0.0,0.0,0.0
01_011,0,46,0,9,0.1956521739130435,0.0,0,9,0,37,0.0,0.0,0.0
01_0129,1,15,8,4,0.26666666666666666,0.5333333333333333,4,0,4,7,1.0,0.5,0.6666666666666666
01_013,0,46,0,15,0.32608695652173914,0.0,0,15,0,31,0.0,0.0,0.0
01_0130,1,21,7,5,0.23809523809523808,0.3333333333333333,5,0,2,14,1.0,0.7142857142857143,0.8333333333333333
01_0131,1,18,7,5,0.2777777777777778,0.3888888888888889,5,0,2,11,1.0,0.7142857142857143,0.8333333333333333
01_0132,1,16,6,4,0.25,0.375,4,0,2,10,1.0,0.6666666666666666,0.8
01_0133,1,13,13,0,0.0,1.0,0,0,13,0,0.0,0.0,0.0
01_0134,1,27,13,4,0.14814814814814814,0.48148148148148145,4,0,9,14,1.0,0.3076923076923077,0.47058823529411764
01_0138,1,19,8,0,0.0,0.42105263157894735,0,0,8,11,0.0,0.0,0.0
01_014,0,46,0,24,0.5217391304347826,0.0,0,24,0,22,0.0,0.0,0.0
01_0140,1,15,5,3,0.2,0.3333333333333333,3,0,2,10,1.0,0.6,0.7499999999999999
01_015,0,46,0,16,0.34782608695652173,0.0,0,16,0,30,0.0,0.0,0.0
01_016,0,37,0,7,0.1891891891891892,0.0,0,7,0,30,0.0,0.0,0.0
01_0163,1,16,8,0,0.0,0.5,0,0,8,8,0.0,0.0,0.0
01_017,0,52,0,13,0.25,0.0,0,13,0,39,0.0,0.0,0.0
01_019,0,36,0,8,0.2222222222222222,0.0,0,8,0,28,0.0,0.0,0.0
01_020,0,51,0,12,0.23529411764705882,0.0,0,12,0,39,0.0,0.0,0.0
01_022,0,30,0,5,0.16666666666666666,0.0,0,5,0,25,0.0,0.0,0.0
01_023,0,81,0,6,0.07407407407407407,0.0,0,6,0,75,0.0,0.0,0.0
01_024,0,42,0,12,0.2857142857142857,0.0,0,12,0,30,0.0,0.0,0.0
01_025,0,47,0,10,0.2127659574468085,0.0,0,10,0,37,0.0,0.0,0.0
01_029,0,60,0,17,0.2833333333333333,0.0,0,17,0,43,0.0,0.0,0.0
01_031,0,29,0,5,0.1724137931034483,0.0,0,5,0,24,0.0,0.0,0.0
01_033,0,55,0,18,0.32727272727272727,0.0,0,18,0,37,0.0,0.0,0.0
01_035,0,51,0,0,0.0,0.0,0,0,0,51,0.0,0.0,0.0
01_036,0,29,0,3,0.10344827586206896,0.0,0,3,0,26,0.0,0.0,0.0
01_037,0,52,0,9,0.17307692307692307,0.0,0,9,0,43,0.0,0.0,0.0
01_041,0,54,0,24,0.4444444444444444,0.0,0,24,0,30,0.0,0.0,0.0
01_042,0,54,0,12,0.2222222222222222,0.0,0,12,0,42,0.0,0.0,0.0
